,Unnamed: 0,row_id,brand,model,sentiment,magnitude,Month,MonthNuMBER,Year
8,8,8,samsung,s9,-4.00000006,225,dec,12,2019
9,9,9,samsung,s9,-3.000000119,111.0000038,dec,12,2019
28,28,28,samsung,s9,-3.000000119,168.9999962,dec,12,2018
29,29,29,samsung,s9,0,155,dec,12,2018
30,30,30,samsung,s9,-2.00000003,190,dec,12,2018
31,31,31,samsung,s9,0,265,dec,12,2018
88,88,88,samsung,s9,-2.00000003,133.9999962,dec,12,2017
89,89,89,samsung,s9,-2.00000003,153.0000019,dec,12,2017
93,93,93,samsung,f41,-3.000000119,96.99999809,dec,12,2020
102,102,102,samsung,s20,-4.00000006,232.0000076,dec,12,2020
146,146,146,samsung,a42,-2.00000003,162.0000076,dec,12,2020
153,153,153,samsung,m51,-3.000000119,171.0000038,dec,12,2020
154,154,154,samsung,m51,-2.00000003,126.0000038,dec,12,2020
155,155,155,samsung,m51,-1.000000015,292.9999924,dec,12,2020
231,231,231,samsung,a11,-2.00000003,128.0000019,dec,12,2020
262,262,262,samsung,s10,-3.000000119,367.0000076,dec,12,2019
263,263,263,samsung,s10,0,307.0000076,dec,12,2019
264,264,264,samsung,s10,0,207.0000076,dec,12,2019
265,265,265,samsung,s10,-2.00000003,454.0000153,dec,12,2019
266,266,266,samsung,s10,-2.00000003,434.0000153,dec,12,2019
267,267,267,samsung,s10,-1.000000015,227.9999924,dec,12,2019
316,316,316,samsung,note10,-1.000000015,187.9999924,dec,12,2020
349,349,349,samsung,note10,-2.00000003,143.0000019,dec,12,2019
350,350,350,samsung,note10,-3.000000119,146.0000038,dec,12,2019
351,351,351,samsung,note10,-2.00000003,91.99999809,dec,12,2019
356,356,356,oneplus,one,-1.000000015,64.00000095,dec,12,2017
362,362,362,oneplus,one,-2.00000003,71.99999809,dec,12,2016
380,380,380,oneplus,one,-6.000000238,198.9999962,dec,12,2015
381,381,381,oneplus,one,-2.00000003,96.99999809,dec,12,2015
382,382,382,oneplus,one,-1.000000015,231.0000038,dec,12,2015
459,459,459,oneplus,one,0,91.00000381,dec,12,2014
460,460,460,oneplus,one,0,260,dec,12,2014
461,461,461,oneplus,one,1.000000015,427.0000076,dec,12,2014
462,462,462,oneplus,one,-1.000000015,93.00000191,dec,12,2014
463,463,463,oneplus,one,1.000000015,261.0000038,dec,12,2014
464,464,464,oneplus,one,-1.000000015,150,dec,12,2014
465,465,465,oneplus,one,0,83.99999619,dec,12,2014
523,523,523,oneplus,2,-2.00000003,131.0000038,dec,12,2016
524,524,524,oneplus,2,-2.00000003,227.0000076,dec,12,2016
525,525,525,oneplus,2,-5,186.0000038,dec,12,2016
526,526,526,oneplus,2,-3.000000119,135,dec,12,2016
574,574,574,oneplus,2,0,307.9999924,dec,12,2015
575,575,575,oneplus,2,-2.00000003,106.0000038,dec,12,2015
576,576,576,oneplus,2,-2.00000003,103.0000019,dec,12,2015
577,577,577,oneplus,2,0,116.9999981,dec,12,2015
578,578,578,oneplus,2,0,350,dec,12,2015
579,579,579,oneplus,2,-4.00000006,188.9999962,dec,12,2015
580,580,580,oneplus,2,-2.00000003,85,dec,12,2015
581,581,581,oneplus,2,-2.00000003,215,dec,12,2015
656,656,656,oneplus,2,-1.000000015,55.99999905,dec,12,2014
664,664,664,oneplus,x,-2.00000003,255,dec,12,2016
717,717,717,oneplus,x,-3.000000119,163.9999962,dec,12,2015
718,718,718,oneplus,x,0,115,dec,12,2015
719,719,719,oneplus,x,-2.00000003,106.0000038,dec,12,2015
720,720,720,oneplus,x,0,113.9999962,dec,12,2015
721,721,721,oneplus,x,1.000000015,192.0000076,dec,12,2015
722,722,722,oneplus,x,1.000000015,172.0000076,dec,12,2015
723,723,723,oneplus,x,0,171.0000038,dec,12,2015
724,724,724,oneplus,x,-2.00000003,247.0000076,dec,12,2015
725,725,725,oneplus,x,-2.00000003,232.0000076,dec,12,2015
726,726,726,oneplus,x,-3.000000119,100,dec,12,2015
727,727,727,oneplus,x,-2.00000003,128.0000019,dec,12,2015
762,762,762,oneplus,3,-2.00000003,118.9999962,dec,12,2018
764,764,764,oneplus,3,-3.000000119,146.9999981,dec,12,2017
787,787,787,oneplus,3,0,126.9999981,dec,12,2016
788,788,788,oneplus,3,0,51.99999809,dec,12,2016
789,789,789,oneplus,3,-2.00000003,257.0000076,dec,12,2016
790,790,790,oneplus,3,0,148.0000019,dec,12,2016
791,791,791,oneplus,3,0,148.0000019,dec,12,2016
792,792,792,oneplus,3,-1.000000015,177.9999924,dec,12,2016
793,793,793,oneplus,3,-3.000000119,207.0000076,dec,12,2016
794,794,794,oneplus,3,0,187.9999924,dec,12,2016
948,948,948,oneplus,3t,-4.00000006,181.0000038,dec,12,2018
955,955,955,oneplus,3t,-3.000000119,138.9999962,dec,12,2017
1025,1025,1025,oneplus,3t,-1.000000015,217.9999924,dec,12,2016
1026,1026,1026,oneplus,3t,-1.000000015,111.9999981,dec,12,2016
1027,1027,1027,oneplus,3t,-2.00000003,148.9999962,dec,12,2016
1028,1028,1028,oneplus,3t,0,86.99999809,dec,12,2016
1029,1029,1029,oneplus,3t,-2.00000003,113.0000019,dec,12,2016
1030,1030,1030,oneplus,3t,-2.00000003,79.00000095,dec,12,2016
1031,1031,1031,oneplus,3t,-2.00000003,108.0000019,dec,12,2016
1032,1032,1032,oneplus,3t,-1.000000015,34.00000095,dec,12,2016
1033,1033,1033,oneplus,3t,-1.000000015,69.00000095,dec,12,2016
1034,1034,1034,oneplus,3t,-2.00000003,101.0000038,dec,12,2016
