brand,model,url,pages
samsung,s9,https://www.gsmarena.com/samsung_galaxy_s9-reviews-8966,91
samsung,a12,https://www.gsmarena.com/samsung_galaxy_a12-reviews-10604,2
samsung,m21,https://www.gsmarena.com/samsung_galaxy_m21s-reviews-10580,2
samsung,m31,https://www.gsmarena.com/samsung_galaxy_m31_prime-reviews-10496,2
samsung,f41,https://www.gsmarena.com/samsung_galaxy_f41-reviews-10498,10
samsung,s20,https://www.gsmarena.com/samsung_galaxy_s20_fe_5g-reviews-10377,45
samsung,a42,https://www.gsmarena.com/samsung_galaxy_a42_5g-reviews-10412,8
samsung,m51,https://www.gsmarena.com/samsung_galaxy_m51-reviews-10148,66
samsung,a51,https://www.gsmarena.com/samsung_galaxy_a51_5g_uw-reviews-10371,4
samsung,note20,https://www.gsmarena.com/samsung_galaxy_note20_ultra-reviews-10355,11
samsung,a11,https://www.gsmarena.com/samsung_galaxy_a11-reviews-10132,14
samsung,s10,https://www.gsmarena.com/samsung_galaxy_s10-reviews-9536,73
samsung,note10,https://www.gsmarena.com/samsung_galaxy_note10_lite-reviews-10003,37
oneplus,one,https://www.gsmarena.com/oneplus_one-reviews-6327,161
oneplus,2,https://www.gsmarena.com/oneplus_2-reviews-6902,146
oneplus,x,https://www.gsmarena.com/oneplus_x-reviews-7630,104
oneplus,3,https://www.gsmarena.com/oneplus_3-reviews-7995,185
oneplus,3t,https://www.gsmarena.com/oneplus_3t-reviews-8416,111
oneplus,5,https://www.gsmarena.com/oneplus_5-reviews-8647,134
oneplus,5t,https://www.gsmarena.com/oneplus_5t-reviews-8912,74
oneplus,6,https://www.gsmarena.com/oneplus_6-reviews-9109,105
oneplus,6t,https://www.gsmarena.com/oneplus_6t-reviews-9350,44
oneplus,7,https://www.gsmarena.com/oneplus_7-reviews-9623,41
oneplus ,7 pro,https://www.gsmarena.com/oneplus_7_pro-reviews-9689,52
oneplus,7t,https://www.gsmarena.com/oneplus_7t-reviews-9816,30
oneplus,7t pro,https://www.gsmarena.com/oneplus_7t_pro-reviews-9872,16
oneplus,8,https://www.gsmarena.com/oneplus_8-reviews-10161,17
oneplus,8t,https://www.gsmarena.com/oneplus_8t-reviews-10420,21
oneplus,8 pro,https://www.gsmarena.com/oneplus_8_pro-reviews-9919,46
