,text,start,duration,VideoId
0,hey what's up guys mkbhd here and this,2.419,7.361,OHP1rLwR6r8
1,this is one plus eight,6.89,5.56,OHP1rLwR6r8
2,now oneplus didn't just also come out,9.78,5.04,OHP1rLwR6r8
3,with a one plus eight pro this is the,12.45,5.61,OHP1rLwR6r8
4,phone one plus would mark it as flagship,14.82,5.4,OHP1rLwR6r8
5,killer right but we all see oneplus,18.06,3.93,OHP1rLwR6r8
6,slowly moving away from that direction,20.22,4.02,OHP1rLwR6r8
7,now they have a different slogan fast,21.99,4.08,OHP1rLwR6r8
8,and smooth and you can tell they're,24.24,3.09,OHP1rLwR6r8
9,getting away from the flagship killer,26.07,2.91,OHP1rLwR6r8
10,thing now that they actually make a,27.33,4.859,OHP1rLwR6r8
11,flagship but this is exactly what I'd,28.98,5.16,OHP1rLwR6r8
12,expect from the oneplus that I feel like,32.189,3.691,OHP1rLwR6r8
13,we've always known so this interstellar,34.14,5.22,OHP1rLwR6r8
14,glow one plus eight star set $6.99 and,35.88,5.28,OHP1rLwR6r8
15,it has the bleeding edge high-end specs,39.36,3.26,OHP1rLwR6r8
16,you'd want for fast performance,41.16,4.8,OHP1rLwR6r8
17,snapdragon 865 with the 5g modems in,42.62,6.27,OHP1rLwR6r8
18,there eight or twelve gigs of fast Ram,45.96,6.09,OHP1rLwR6r8
19,ufs 3.0 storage Wi-Fi six like that's,48.89,5.559,OHP1rLwR6r8
20,all nice it's a fast phone definitely,52.05,3.87,OHP1rLwR6r8
21,love that but there are a few things,54.449,5.731,OHP1rLwR6r8
22,here cut down to save cost and I'll,55.92,6.27,OHP1rLwR6r8
23,compare this a lot to the 1+8 pro so if,60.18,2.91,OHP1rLwR6r8
24,you haven't watched that it's the,62.19,2.67,OHP1rLwR6r8
25,previous video firstly pull the like,63.09,2.97,OHP1rLwR6r8
26,button if you want to watch it to catch,64.86,3.689,OHP1rLwR6r8
27,up that's there but the story is if you,66.06,4.5,OHP1rLwR6r8
28,work for one plus and you started off,68.549,4.411,OHP1rLwR6r8
29,with this nine hundred two thousand,70.56,3.629,OHP1rLwR6r8
30,dollar phone and you're like alright,72.96,3.659,OHP1rLwR6r8
31,what are we gonna cut out of this phone,74.189,5.851,OHP1rLwR6r8
32,to get the price way down but still give,76.619,5.551,OHP1rLwR6r8
33,people a pretty close to a flagship,80.04,5.52,OHP1rLwR6r8
34,experience what would we do well this is,82.17,5.19,OHP1rLwR6r8
35,what they did first of all its overall a,85.56,4.14,OHP1rLwR6r8
36,bit of a smaller form factor now it's by,87.36,5.07,OHP1rLwR6r8
37,no means a small phone it's definitely,89.7,4.95,OHP1rLwR6r8
38,still big it has a six point five five,92.43,4.35,OHP1rLwR6r8
39,inch display which makes it still a,94.65,5.219,OHP1rLwR6r8
40,little taller than the iPhone 11 pro max,96.78,5.22,OHP1rLwR6r8
41,so it's not small but it is a little bit,99.869,3.991,OHP1rLwR6r8
42,smaller than the eight pro and it's also,102.0,3.99,OHP1rLwR6r8
43,definitely lighter it's noticeably,103.86,4.41,OHP1rLwR6r8
44,lighter to me it's 180 grams on paper to,105.99,4.71,OHP1rLwR6r8
